,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2009-10-12,24140.900391,3845.8000490000004,5783.22998,1076.189941,11748.799805,2914.350098
2009-10-13,23928.800781,3801.389893,5714.310059,1073.189941,11608.299805,2879.060059
2009-10-14,24348.199219,3882.669922,5854.140136999999,1092.02002,11870.900391,2950.820068
2009-10-15,24339.800781,3883.830078,5830.77002,1096.560059,11849.700195,2939.090088
2009-10-16,24152.300781,3827.600098,5743.390136999999,1087.680054,11676.400391,2893.530029
2009-10-19,24426.0,3892.360107,5852.560059,1097.910034,11885.299805,2947.409912
2009-10-20,24228.099609,3871.4499509999996,5811.77002,1091.060059,11790.200195,2925.080078
2009-10-21,24175.900391,3873.219971,5833.490234000001,1081.400024,11875.200195,2936.830078
2009-10-22,23813.400391,3820.850098,5762.930176,1092.910034,11828.599609,2902.189941
2009-10-23,23420.599609,3808.23999,5740.25,1079.599976,11739.799805,2886.080078
2009-10-26,23001.599609,3744.4499509999996,5642.160156,1066.949951,11622.599609,2834.820068
2009-10-27,22829.5,3743.9499509999996,5635.02002,1063.410034,11634.0,2835.169922
2009-10-28,22315.599609,3663.780029,5496.27002,1042.630005,11429.799805,2778.459961
2009-10-29,22772.599609,3714.0200200000004,5587.450195,1066.109985,11683.400391,2824.780029
2009-10-30,22060.300781,3607.6899409999996,5414.959961,1036.189941,11414.799805,2743.5
2009-11-02,22318.599609,3639.459961,5430.819824,1042.880005,11465.799805,2762.949951
2009-11-03,21946.900391,3584.25,5353.350098,1045.410034,11242.400391,2712.300049
2009-11-04,22385.699219,3670.330078,5444.22998,1046.5,11387.700195,2763.290039
2009-11-05,22582.199219,3708.7299799999996,5480.919922,1066.630005,11548.900391,2793.439941
2009-11-06,22549.599609,3707.290039,5488.25,1069.300049,11580.599609,2794.25
2009-11-09,23065.900391,3785.48999,5619.720215,1093.079956,11816.799805,2860.110107
2009-11-10,23013.699219,3785.5900880000004,5613.200195,1093.01001,11814.0,2856.439941
2009-11-11,23266.599609,3814.389893,5668.350098,1098.51001,11801.400391,2881.01001
2009-11-12,23209.5,3808.070068,5663.959961,1087.23999,11834.5,2876.919922
2009-11-13,23284.199219,3806.01001,5686.830078,1093.47998,11867.0,2883.040039
2009-11-16,23620.400391,3863.1599119999996,5804.819824,1109.300049,11986.900391,2926.149902
2009-11-17,23381.199219,3829.0600590000004,5778.430176,1110.319946,11959.400391,2906.919922
2009-11-18,23334.699219,3828.1599119999996,5787.609863000001,1109.800049,12034.400391,2908.530029
2009-11-19,22823.199219,3760.219971,5702.180176,1094.900024,11846.200195,2860.290039
2009-11-20,22511.699219,3729.360107,5663.149902,1091.380005,11719.299805,2833.060059
2009-11-23,22956.400391,3813.169922,5801.47998,1106.23999,11940.5,2898.189941
2009-11-24,22708.400391,3784.6201170000004,5769.310059,1105.650024,11905.200195,2877.580078
2009-11-25,22741.800781,3809.1599119999996,5803.02002,1110.630005,11965.799805,2896.899902
2009-11-26,21922.400391,3679.2299799999996,5614.169922,1110.630005,11657.5,2799.439941
2009-11-27,22205.300781,3721.4499509999996,5685.609863000001,1091.48999,11776.799805,2831.139893
2009-11-30,21928.199219,3680.149902,5625.950195,1095.630005,11644.700195,2797.25
2009-12-01,22556.099609,3775.73999,5776.609863000001,1108.859985,11862.099609,2871.75
2009-12-02,22572.900391,3795.919922,5781.680176,1109.23999,11868.799805,2877.939941
2009-12-03,22615.900391,3799.110107,5770.350098,1099.920044,11905.299805,2876.139893
2009-12-04,22926.0,3846.6201170000004,5817.649902,1105.97998,12032.200195,2910.330078
2009-12-07,22788.5,3840.0500490000004,5784.75,1103.25,12011.799805,2896.22998
2009-12-08,22404.300781,3785.3000490000004,5688.580078,1091.939941,11808.900391,2849.169922
2009-12-09,22236.199219,3757.389893,5647.839844,1095.949951,11541.200195,2818.100098
2009-12-10,22385.699219,3798.3798829999996,5709.02002,1102.349976,11594.700195,2851.290039
2009-12-11,22411.5,3803.719971,5756.290039,1106.410034,11616.0,2862.320068
2009-12-14,22652.300781,3830.4399409999996,5802.259765999999,1114.109985,11705.900391,2885.0
2009-12-15,22617.199219,3834.0900880000004,5811.339844,1107.930054,11735.5,2888.580078
2009-12-16,22889.599609,3875.820068,5903.430176,1109.180054,11863.200195,2926.52002
2009-12-17,22677.699219,3830.820068,5844.439941,1096.079956,11696.900391,2891.659912
2009-12-18,22472.400391,3794.4399409999996,5831.209961,1102.469971,11645.0,2871.219971
2009-12-21,22738.699219,3872.0600590000004,5930.529785,1114.050049,11830.799805,2926.050049
2009-12-22,22982.599609,3898.3798829999996,5945.689941,1118.02002,11890.799805,2945.709961
2009-12-23,23109.099609,3910.75,5957.439941,1120.589966,11967.5,2957.47998
2009-12-24,23109.099609,3912.7299799999996,5957.439941,1126.47998,11967.5,2957.030029
2009-12-25,23109.099609,3912.7299799999996,5957.439941,1126.47998,11967.5,2957.030029
2009-12-28,23302.599609,3947.149902,6002.919922,1127.780029,12023.200195,2982.419922
2009-12-29,23376.199219,3959.9799799999996,6011.549805,1126.199951,12035.099609,2992.080078
2009-12-30,23248.400391,3935.5,5957.430176,1126.420044,11940.0,2966.23999
2009-12-31,23248.400391,3936.330078,5957.430176,1115.099976,11940.0,2964.959961
2010-01-01,23248.400391,3936.330078,5957.430176,1115.099976,11940.0,2964.959961
2010-01-04,23545.0,4013.969971,6048.299805,1132.98999,12145.099609,3017.800049
2010-01-05,23555.699219,4012.9099119999996,6031.859863000001,1136.52002,12204.400391,3012.360107
2010-01-06,23622.300781,4017.669922,6034.330078,1137.140015,12222.5,3009.659912
2010-01-07,23709.0,4024.8000490000004,6019.359863000001,1141.689941,12166.299805,3007.340088
2010-01-08,23811.099609,4045.139893,6037.609863000001,1144.97998,12163.0,3017.850098
2010-01-11,23774.800781,4043.0900880000004,6040.5,1146.97998,12074.5,3010.23999
2010-01-12,23583.300781,4000.0500490000004,5943.0,1136.219971,11966.099609,2976.889893
2010-01-13,23658.400391,4000.860107,5963.140136999999,1145.680054,11958.299805,2978.409912
2010-01-14,23806.0,4015.7700200000004,5988.879883,1148.459961,11999.799805,2989.709961
2010-01-15,23472.099609,3954.3798829999996,5875.970215,1136.030029,11845.0,2940.25
2010-01-18,23509.800781,3977.459961,5918.549805,1136.030029,11870.700195,2957.8701170000004
2010-01-19,23705.699219,4009.669922,5976.47998,1150.22998,12022.599609,2984.820068
2010-01-20,23126.0,3928.9499509999996,5851.529785,1138.040039,11709.0,2914.600098
2010-01-21,22876.5,3862.1599119999996,5746.970215,1116.47998,11444.0,2863.25
2010-01-22,22567.800781,3820.780029,5695.319824,1091.76001,11373.400391,2836.800049
2010-01-25,22373.099609,3781.850098,5631.370117,1096.780029,11249.299805,2807.300049
2010-01-26,22407.699219,3807.040039,5668.930176,1092.170044,11347.299805,2827.73999
2010-01-27,21997.599609,3759.8000490000004,5643.200195,1097.5,11042.200195,2787.399902
2010-01-28,21603.099609,3688.790039,5540.330078,1084.530029,10829.299805,2737.330078
2010-01-29,21896.300781,3739.459961,5608.790039,1073.869995,10947.700195,2776.830078
