Date,ON,3M,6M,12M
01/07/2011,0.56813,0.82563,1.10438,1.57875
04/07/2011,0.56563,0.82563,1.10438,1.57875
05/07/2011,0.56563,0.82563,1.10438,1.57875
06/07/2011,0.56563,0.82563,1.10438,1.57875
07/07/2011,0.56563,0.82625,1.10438,1.57938
08/07/2011,0.56563,0.82625,1.10438,1.57969
11/07/2011,0.56563,0.82625,1.10438,1.57906
12/07/2011,0.56438,0.82719,1.10669,1.58000
13/07/2011,0.56438,0.82719,1.10669,1.58000
14/07/2011,0.56438,0.82719,1.10669,1.58000
15/07/2011,0.56563,0.82719,1.10669,1.58000
18/07/2011,0.56563,0.82781,1.10856,1.58156
19/07/2011,0.56438,0.82906,1.10981,1.58531
20/07/2011,0.56438,0.83031,1.11231,1.58656
21/07/2011,0.56438,0.83281,1.11388,1.58844
22/07/2011,0.56438,0.83281,1.11388,1.58844
25/07/2011,0.56438,0.83281,1.11388,1.58781
26/07/2011,0.56375,0.83281,1.11388,1.58813
27/07/2011,0.56375,0.83281,1.11500,1.58813
28/07/2011,0.56500,0.83281,1.11500,1.58781
29/07/2011,0.57125,0.83281,1.11500,1.58781
01/08/2011,0.56875,0.83281,1.11500,1.58781
02/08/2011,0.57625,0.83344,1.11781,1.59094
03/08/2011,0.57438,0.83438,1.11875,1.59344
04/08/2011,0.57063,0.83438,1.11844,1.59281
05/08/2011,0.57313,0.83438,1.11906,1.59094
08/08/2011,0.57313,0.83813,1.12531,1.59781
09/08/2011,0.57438,0.84188,1.12781,1.60000
10/08/2011,0.57438,0.84250,1.12844,1.60000
11/08/2011,0.57563,0.84688,1.13250,1.60250
12/08/2011,0.57563,0.85094,1.13688,1.60625
15/08/2011,0.57688,0.85219,1.13813,1.60875
16/08/2011,0.57938,0.85719,1.14281,1.61313
17/08/2011,0.57938,0.85844,1.14375,1.61375
18/08/2011,0.57938,0.86281,1.14625,1.61906
19/08/2011,0.57938,0.86719,1.15156,1.62563
22/08/2011,0.58000,0.87188,1.15656,1.63125
23/08/2011,0.58000,0.87688,1.15969,1.63563
24/08/2011,0.58000,0.87969,1.16500,1.63969
25/08/2011,0.58000,0.87969,1.16500,1.64219
26/08/2011,0.58000,0.88219,1.16750,1.64344
30/08/2011,0.58000,0.88344,1.17000,1.64719
31/08/2011,0.58438,0.88625,1.17281,1.64969
01/09/2011,0.58063,0.88813,1.17438,1.65094
02/09/2011,0.58063,0.88875,1.17500,1.65188
05/09/2011,0.58438,0.89031,1.17531,1.65219
06/09/2011,0.58063,0.89344,1.17719,1.65406
07/09/2011,0.58063,0.89656,1.18031,1.65719
08/09/2011,0.58188,0.90063,1.18438,1.66250
09/09/2011,0.58063,0.90469,1.18969,1.66906
12/09/2011,0.58063,0.90906,1.19344,1.67375
13/09/2011,0.58063,0.91219,1.19594,1.67656
14/09/2011,0.58063,0.91500,1.19750,1.67813
15/09/2011,0.58063,0.91781,1.19969,1.68063
16/09/2011,0.58313,0.91906,1.20094,1.68188
19/09/2011,0.58313,0.92188,1.20250,1.68438
20/09/2011,0.58313,0.92469,1.20656,1.68844
21/09/2011,0.58313,0.92844,1.20906,1.69219
22/09/2011,0.58313,0.93156,1.21500,1.69688
23/09/2011,0.58313,0.93344,1.21688,1.69938
26/09/2011,0.58438,0.93625,1.21938,1.70188
27/09/2011,0.58438,0.94125,1.22188,1.70563
28/09/2011,0.58375,0.94313,1.22500,1.71000
29/09/2011,0.58375,0.94938,1.23000,1.71500
30/09/2011,0.62375,0.95250,1.23063,1.71625
03/10/2011,0.58875,0.95375,1.23063,1.71625
04/10/2011,0.58875,0.95688,1.23400,1.71938
05/10/2011,0.58750,0.95938,1.23550,1.72063
06/10/2011,0.58500,0.96000,1.23763,1.72250
07/10/2011,0.58500,0.95875,1.23850,1.72500
10/10/2011,0.58375,0.95875,1.23975,1.72813
11/10/2011,0.58250,0.96125,1.24250,1.73188
12/10/2011,0.58250,0.96250,1.24375,1.73438
13/10/2011,0.58375,0.96375,1.24500,1.73563
14/10/2011,0.58375,0.96500,1.24575,1.73656
17/10/2011,0.58375,0.96669,1.24744,1.73844
18/10/2011,0.58375,0.96825,1.24900,1.73875
19/10/2011,0.58375,0.96975,1.25050,1.74125
20/10/2011,0.58375,0.97406,1.25450,1.74500
21/10/2011,0.58250,0.97856,1.25775,1.74938
24/10/2011,0.58250,0.98169,1.25969,1.75219
25/10/2011,0.58250,0.98475,1.26375,1.75625
26/10/2011,0.58250,0.98544,1.26681,1.75906
27/10/2011,0.58250,0.98544,1.26681,1.75906
28/10/2011,0.58250,0.98669,1.26806,1.76031
31/10/2011,0.58250,0.98669,1.26806,1.76031
01/11/2011,0.58250,0.98869,1.26975,1.76156
02/11/2011,0.58250,0.98956,1.27313,1.76219
03/11/2011,0.58250,0.99231,1.27588,1.76500
04/11/2011,0.58250,0.99263,1.27744,1.76656
07/11/2011,0.58250,0.99419,1.27813,1.76688
08/11/2011,0.58250,0.99713,1.28219,1.77094
09/11/2011,0.58250,0.99813,1.28419,1.77438
10/11/2011,0.58250,1.00438,1.29188,1.78219
11/11/2011,0.58250,1.00672,1.29375,1.78375
14/11/2011,0.58250,1.00703,1.29531,1.78531
15/11/2011,0.58250,1.00763,1.29844,1.78656
16/11/2011,0.58250,1.00900,1.29969,1.78906
17/11/2011,0.58250,1.01181,1.30125,1.79094
18/11/2011,0.58250,1.01869,1.30544,1.79625
21/11/2011,0.58500,1.02063,1.30938,1.80031
22/11/2011,0.58250,1.02450,1.31313,1.80406
23/11/2011,0.58250,1.02763,1.32125,1.81219
24/11/2011,0.58250,1.02950,1.32563,1.81656
25/11/2011,0.58250,1.03263,1.33031,1.82125
28/11/2011,0.58250,1.03388,1.33156,1.82250
29/11/2011,0.58250,1.03513,1.33156,1.82250
30/11/2011,0.58250,1.03825,1.33156,1.82250
01/12/2011,0.58250,1.03825,1.33069,1.82250
02/12/2011,0.58250,1.03888,1.33194,1.82375
05/12/2011,0.58250,1.04013,1.33406,1.82500
06/12/2011,0.58250,1.04513,1.33819,1.83000
07/12/2011,0.58250,1.04638,1.33944,1.83125
08/12/2011,0.58250,1.04825,1.34006,1.83188
09/12/2011,0.58000,1.05200,1.34256,1.83438
12/12/2011,0.58000,1.05356,1.34413,1.83594
13/12/2011,0.58000,1.05525,1.34581,1.83888
14/12/2011,0.58000,1.05869,1.34925,1.84044
