Date,EUR/USD,JPY/USD,GBP/USD
13/03/2015,1.04763,0.00823635,1.47405
16/03/2015,1.0577,0.00823587,1.4831
17/03/2015,1.05915,0.00823940,1.47413
18/03/2015,1.08876,0.00833333,1.50016
19/03/2015,1.0638,0.00827061,1.4708
20/03/2015,1.0804,0.00832625,1.49405
23/03/2015,1.09623,0.00834940,1.49567
24/03/2015,1.09241,0.00835338,1.48499
25/03/2015,1.0962,0.00836547,1.48679
26/03/2015,1.08894,0.00838553,1.48584
27/03/2015,1.08962,0.00839531,1.48735
30/03/2015,1.08124,0.00832209,1.47958
31/03/2015,1.07468,0.00833917,1.48421
01/04/2015,1.07589,0.00835959,1.4826
02/04/2015,1.0883,0.00835386,1.48242
03/04/2015,1.0995,0.00840972,1.492
06/04/2015,1.09224,0.00836169,1.4878
07/04/2015,1.0822,0.00831006,1.48231
08/04/2015,1.07867,0.00832840,1.48733
09/04/2015,1.06476,0.00828726,1.47012
10/04/2015,1.06013,0.00832244,1.46422
13/04/2015,1.05751,0.00833027,1.4678
14/04/2015,1.06524,0.00837591,1.47784
15/04/2015,1.06771,0.00839207,1.48475
16/04/2015,1.07745,0.00840152,1.495
17/04/2015,1.082,0.00841672,1.4974
20/04/2015,1.07358,0.00838461,1.49089
21/04/2015,1.0734,0.00835673,1.49274
22/04/2015,1.0728,0.00834028,1.5039
23/04/2015,1.0826,0.00836757,1.50543
24/04/2015,1.0862,0.00841035,1.5172
27/04/2015,1.08805,0.00839581,1.52233
28/04/2015,1.0968,0.00841240,1.5321
29/04/2015,1.1108,0.00840406,1.5432
30/04/2015,1.123,0.00837401,1.53441
01/05/2015,1.1211,0.00832292,1.5151
04/05/2015,1.11466,0.00832466,1.512
05/05/2015,1.11948,0.00834494,1.51708
06/05/2015,1.1346,0.00837443,1.5243
07/05/2015,1.1266,0.00834668,1.52662
08/05/2015,1.12065,0.00835121,1.54511
11/05/2015,1.11568,0.00832570,1.5591
12/05/2015,1.1216,0.00834585,1.5676
13/05/2015,1.13477,0.00839278,1.57315
14/05/2015,1.1402,0.00839179,1.57764
15/05/2015,1.14459,0.00837850,1.573
18/05/2015,1.13094,0.00833472,1.56489
19/05/2015,1.11537,0.00828363,1.5503
20/05/2015,1.1108,0.00825436,1.5545
21/05/2015,1.11221,0.00826760,1.5664
22/05/2015,1.10121,0.00822970,1.54838
25/05/2015,1.0978,0.00823018,1.5464
26/05/2015,1.0875,0.00812928,1.53876
27/05/2015,1.0902,0.00808093,1.5345
28/05/2015,1.09398,0.00806308,1.5309
29/05/2015,1.09813,0.00805892,1.52874
01/06/2015,1.09259,0.00801249,1.5196
02/06/2015,1.11518,0.00806172,1.53425
03/06/2015,1.12683,0.00804634,1.53295
04/06/2015,1.1243,0.00804531,1.5368
05/06/2015,1.111,0.00795943,1.5267
08/06/2015,1.12822,0.00803806,1.534
09/06/2015,1.1278,0.00804227,1.5379
10/06/2015,1.132,0.00814863,1.55306
11/06/2015,1.12595,0.00810110,1.5516
12/06/2015,1.1252,0.00810438,1.5552
15/06/2015,1.1285,0.00810766,1.5606
16/06/2015,1.1247,0.00810536,1.5648
17/06/2015,1.1335,0.00810504,1.5825
18/06/2015,1.1372,0.00813603,1.5883
19/06/2015,1.13434,0.00815128,1.5871
22/06/2015,1.1322,0.00810353,1.58154
23/06/2015,1.1162,0.00806503,1.57173
24/06/2015,1.1203,0.00807363,1.5693
25/06/2015,1.12,0.00809061,1.5735
26/06/2015,1.1169,0.00807604,1.5739
29/06/2015,1.1229,0.00816526,1.5727
30/06/2015,1.1144,0.00817400,1.57177
01/07/2015,1.1048,0.00812017,1.5609
02/07/2015,1.10873,0.00812545,1.5598
03/07/2015,1.1067,0.00814199,1.5573
06/07/2015,1.1049,0.00816659,1.5604
07/07/2015,1.1024,0.00815727,1.5471
08/07/2015,1.10683,0.00830130,1.5364
09/07/2015,1.1025,0.00824307,1.5385
10/07/2015,1.11451,0.00814265,1.5513
13/07/2015,1.1011,0.00810582,1.5489
14/07/2015,1.1003,0.00810576,1.5626
15/07/2015,1.0942,0.00808172,1.5627
16/07/2015,1.0875,0.00805704,1.5605
17/07/2015,1.0849,0.00805866,1.5611
20/07/2015,1.0824,0.00804705,1.5564
21/07/2015,1.0935,0.00806679,1.555
22/07/2015,1.09138,0.00806373,1.56
23/07/2015,1.0998,0.00808015,1.55153
24/07/2015,1.0978,0.00807682,1.5501
27/07/2015,1.1094,0.00811306,1.5553
28/07/2015,1.1055,0.00809303,1.5604
29/07/2015,1.0981,0.00807082,1.5603
30/07/2015,1.0927,0.00805522,1.5605
31/07/2015,1.0986,0.00807232,1.5622
03/08/2015,1.0947,0.00806542,1.55827
04/08/2015,1.0888,0.00804382,1.5567
05/08/2015,1.0902,0.00800973,1.56006
06/08/2015,1.09316,0.00802053,1.5518
07/08/2015,1.0963,0.00805347,1.549
10/08/2015,1.1014,0.00802439,1.5586
11/08/2015,1.1034,0.00799475,1.55681
12/08/2015,1.1165,0.00804919,1.56198
13/08/2015,1.1146,0.00803858,1.561
14/08/2015,1.1104,0.00804557,1.56452
